zona_inyeccion,zona_extraccion,capacidad_base_firme,uso_base_firme,capacidad_base_firme_temporal,uso_base_firme_temporal,capacidad_base_interrumpible,uso_base_interrumpible,volumetrica,fecha_inicio,fecha_fin,,,Precio Total
Occidente,Golfo,12.73721,0.07917,12.81707,0.07917,12.69143,0.07917,13.93012,1/10/2017,31/12/2017,,,177.4308638
Occidente,Norte,0,0,0,0,0,0,0,1/10/2017,31/12/2017,,,0
Occidente,Istmo,0,0,0,0,0,0,0,1/10/2017,31/12/2017,,,0
Golfo,Sur,6.86601,0.04687,6.91345,0.04687,6.84605,0.04687,7.50824,1/10/2017,31/12/2017,,,51.55165092
Golfo,Centro,8.78021,0.06239,8.84329,0.06239,8.75688,0.06239,9.60189,1/10/2017,31/12/2017,,,84.3066106
Golfo,Occidente,12.73721,0.07917,12.81707,0.07917,12.69143,0.07917,13.93012,1/10/2017,31/12/2017,,,177.4308638
Golfo,Golfo,4.50453,0.02974,4.53481,0.02974,4.49072,0.02974,4.92632,1/10/2017,31/12/2017,,,22.19075623
Golfo,Norte,11.49737,0.07795,11.57559,0.07795,11.46176,0.07795,12.57158,1/10/2017,31/12/2017,,,144.5401067
Golfo,Istmo,0,0,0,0,0,0,0,1/10/2017,31/12/2017,,,0
Norte,Sur,0,0,0,0,0,0,0,1/10/2017,31/12/2017,,,0
Norte,Centro,0,0,0,0,0,0,0,1/10/2017,31/12/2017,,,0
Norte,Occidente,0,0,0,0,0,0,0,1/10/2017,31/12/2017,,,0
Norte,Golfo,11.49737,0.07795,11.57559,0.07795,11.46176,0.07795,12.57158,1/10/2017,31/12/2017,,,144.5401067
Norte,Norte,6.26961,0.04821,6.31755,0.04821,6.25497,0.04821,6.85387,1/10/2017,31/12/2017,,,42.97109189
Norte,Istmo,0,0,0,0,0,0,0,1/10/2017,31/12/2017,,,0
,,,,,,,,,,,,,Promedio
,,,,,,,,,,,,,92.74939072
